,Unnamed: 0,address,categories,city,country,latitude,longitude,name,postalCode,province,reviews.date,reviews.dateAdded,reviews.doRecommend,reviews.id,reviews.rating,reviews.text,reviews.title,reviews.userCity,reviews.username,reviews.userProvince,Anger,Joy,Sadness,Analytical,Fear,Confident,Tentative
0,0,Riviera San Nicol 11/a,Hotels,Mableton,US,45.421611,12.376187,Hotel Russo Palace,30126,GA,2013-09-22T00:00:00Z,2016-10-24T00:00:25Z,,,4.0,Pleasant 10 min walk along the sea front to the Water Bus. restaurants etc. Hotel was comfortable breakfast was good - quite a variety. Room aircon didn't work very well. Take mosquito repelant!,Good location away from the crouds,,Russ (kent),,,0.705191,,,,,0.8334959999999999
1,1,Riviera San Nicol 11/a,Hotels,Mableton,US,45.421611,12.376187,Hotel Russo Palace,30126,GA,2015-04-03T00:00:00Z,2016-10-24T00:00:25Z,,,5.0,Really lovely hotel. Stayed on the very top floor and were surprised by a Jacuzzi bath we didn't know we were getting! Staff were friendly and helpful and the included breakfast was great! Great location and great value for money. Didn't want to leave!,Great hotel with Jacuzzi bath!,,A Traveler,,,0.9308770000000001,,0.585508,,0.808712,
2,3,Riviera San Nicol 11/a,Hotels,Mableton,US,45.421611,12.376187,Hotel Russo Palace,30126,GA,2013-10-27T00:00:00Z,2016-10-24T00:00:25Z,,,5.0,"We stayed here for four nights in October. The hotel staff were welcoming, friendly and helpful. Assisted in booking tickets for the opera. The rooms were clean and comfortable- good shower, light and airy rooms with windows you could open wide. Beds were comfortable. Plenty of choice for breakfast.Spa at hotel nearby which we used while we were there.",Good location on the Lido.,,Julie,,,0.697699,,,,,0.55795
3,4,Riviera San Nicol 11/a,Hotels,Mableton,US,45.421611,12.376187,Hotel Russo Palace,30126,GA,2015-03-05T00:00:00Z,2016-10-24T00:00:25Z,,,5.0,"We stayed here for four nights in October. The hotel staff were welcoming, friendly and helpful. Assisted in booking tickets for the opera. The rooms were clean and comfortable- good shower, light and airy rooms with windows you could open wide. Beds were comfortable. Plenty of choice for breakfast.Spa at hotel nearby which we used while we were there.",������ ���������������,,sungchul,,,0.697699,,,,,0.55795
4,5,Riviera San Nicol 11/a,Hotels,Mableton,US,45.421611,12.376187,Hotel Russo Palace,30126,GA,2015-04-05T00:00:00Z,2016-10-24T00:00:25Z,,,5.0,"We loved staying on the island of Lido! You need to take a water is from Venice to get there. From the train station, a boat ride takes 45 minutes but has beautiful views along the way. Hotel is an EASY walk from the boat dock. The room was very clean and the breakfast was plentiful. We would definitely recommend this hotel!",Very nice hotel,,A Traveler,,,0.713414,,,,0.874814,
5,6,Riviera San Nicol 11/a,Hotels,Mableton,US,45.421611,12.376187,Hotel Russo Palace,30126,GA,2014-06-10T00:00:00Z,2016-10-24T00:00:25Z,,,4.0,Lovely view out onto the lagoon. Excellent view. Staff were welcoming and helpful.,Lovely view out onto the lagoon. Excellent view.,,A Traveler,,,0.9342940000000001,,,,,
6,11,Riviera San Nicol 11/a,Hotels,Mableton,US,45.421611,12.376187,Hotel Russo Palace,30126,GA,2015-08-02T00:00:00Z,2016-10-24T00:00:25Z,,,3.0,It was ok hotel is nice from in and out but room was small we paid for double bed bat they atteched 2 single bed,It was ok hotel is nice from in and out but room,,ahsas,,,0.748625,,,,,
7,15,Riviera San Nicol 11/a,Hotels,Mableton,US,45.421611,12.376187,Hotel Russo Palace,30126,GA,2014-04-01T00:00:00Z,2016-10-24T00:00:25Z,,,4.0,The hotel staff was very friendly and helpful. The room was clean and comfortable. My wife and I had a room with a terrace over looking the water...it was a great view! I will look to stay at this hotel my next time in Venice...very pleased.,Lugnet p�� Lido,,Mark W,,,0.8400219999999999,,,,0.91171,
8,16,Riviera San Nicol 11/a,Hotels,Mableton,US,45.421611,12.376187,Hotel Russo Palace,30126,GA,2015-06-05T00:00:00Z,2016-10-24T00:00:25Z,,,4.0,"Nice hotel , with very friendly staff and helpful - great choice for breakfast , something for everyone.",Nice hotel with very friendly and helpful staff,,Mrs Gardner,,,0.9385020000000001,,0.532616,,,
9,20,Riviera San Nicol 11/a,Hotels,Mableton,US,45.421611,12.376187,Hotel Russo Palace,30126,GA,2015-07-02T00:00:00Z,2016-10-24T00:00:25Z,,,1.0,"DON'T stay here unless you're less than 2 feet tall or like sleeping with centipedes. Our 4th floor room was an attic with a vaulted ceiling that angles down to 3ft. The bed is only accessible from one side. If you placed your head in the skylight on the other side you might able sit up. The bathtub was impractical with broken shower head. We moved to the 1st floor the next day and within minutes found a centipede on the wall and15 flies. We asked for a broom to get rid of the centipede. Later in the day the receptionist said she gave us something to control the bugs. We never complained about the drain flies so she must have noticed a problem. That night we spent 2 hrs catching 6 centipedes in our room. 2 came from throw pillows. We asked reception for a new room or hotel but there supposedly weren't any hotels with open rooms and if we wanted leave we would have to pay for transportation and both hotels. The next morning we went to reception to tell them about the bug problem. We barely said anything before the woman apologized and said they didn't put the bugs in the room on purpose so we should just go about our day and forget it. She added that she often goes on vacation with her children and sometimes things happen, so she tries to make the best of everything and not start a war. Adding, a few euros isn't going to make anything go away so we should just go enjoy the day because more we talk the less time we have.","Dungeons, Drain Flies and Centipedes",,A Traveler,,,,0.5462060000000001,,,,0.872607
10,21,Riviera San Nicol 11/a,Hotels,Mableton,US,45.421611,12.376187,Hotel Russo Palace,30126,GA,2015-04-11T00:00:00Z,2016-10-24T00:00:25Z,,,5.0,"We had absolutely no problems whatsoever with this hotel and were very pleasantly surprised by the quality considering the low price. The dcor of the room was pleasant and flawless, unlike many of the Venice hotels I've stayed in. The breakfast buffet was delicious too. And to finish all this off, the staff couldn't have been friendlier or more helpful. In terms of location, the hotel is about 10 minutes walk from the Lido waterbus stop, then a boat takes around 15 mins to get into Venice. We didn't find this a problem at all - we knew this was going to be the case so had pre-booked transport tickets to save money. The surrounding Lido is pleasant and worth an explore in a spare couple of hours. In conclusion, I would book this again due to the fantastic quality of the hotel, despite the trade-off of not being in Venice itself.",Excellent hotel with good access to Venice,,Simon,,,0.702804,,0.8943780000000001,,,
